id,tweet
1467859141712441344,Kata Istana Soal Survei Indikator Terkait Penolakan PPKM Diperpanjang https://t.co/RrGjxnhYZM https://t.co/GxuMeKye0O
1467859140957511685,"Tidak Ada PPKM Level 3 di Libur Nataru, Pemerintah Izinkan Warga Lakukan Perjalanan Wisata https://t.co/LZIhaxLDmh"
1467858708566708231,"Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 4, 3, dan 2 di #PikoData https://t.co/HRTW779XRg"
1467858630150012935,Besok Pemko Evaluasi Pelaksanaan PPKM Level 1 https://t.co/zjNWrtbcUZ
1467858496376823812,"Dalam rangka menyambut ppkm natal dan tahun baru

https://t.co/gW7rWvorVv https://t.co/FkTI3HTCnW"
1467858451195908103,PPKM Luar Jawa-Bali dilanjutkan hingga 23 Desember https://t.co/fAbmEd39eU
1467858421995106309,"perdana naik commuter line lagi setelah PPKM level berape au dah, kalo sekarang kudu nunjukin apk PeduliLindungi 😁
aktivitas gak ada yg berubah, duduk masih jaga jarak, setiap orang pd main hape, ada yg dengerin lagu make earphone, ada yg molor &amp; semua masih pada make masker 😂"
1467858020403060736,"Patuhi Inmendagri 63 Tahun 2021, Kota Tangsel Masih Terapkan PPKM Level Dua https://t.co/ijY2TJK5Lt"
1467857667632685060,"malam min, apakah pada saat nataru (ppkm) nanti kereta jarak jauh tetap beroperasi seperti biasanya? terima kasih @KAI121 @KAI121"
1467857651581128704,@madeforjayb Yg ppkm??? Bahas lagi?
1467857577501462529,PPKM Luar Jawa-Bali Dilanjutkan Hingga 23 Desember 2021 https://t.co/aOqlaIZ2ML
1467857215868473351,@Markie_tut semenjak kejadian ppkm percakapan soal line itu pasti bakal ada masalah wkwkwk
1467856738053279745,@PutraErlangga_ Cepet dong mau ppkm nih
1467856479281577987,"@jeffreyyan_ ""lg ppkm"" ""lagi gaenak badan rda flu sih takut gbsa masuk"" ""lain kali gapapa ya? aku gabisa soalnya, maaf"" pkonya pke kata maap aja"
1467856358338973702,"PEMERINTAH Provinsi DKI Jakarta telah menetapkan Penerapan Pembatasan Kegiatan Masyarakat (PPKM) menjadi Level 2. Hal itu membuat Trans-Jakarta mengubah jam operasional.

Sumber: https://t.co/4PnBFiF3ZB"
1467855994797522948,Pernyataan Menko Perekonomian Usai Rapat Terbatas Mengenai Evaluasi PPKM https://t.co/gjibF73ktb
1467855854514806787,"@themoonkv Lancar sih aman"" aja jadi kerja di coffee shop mandiri (syukur"" gue bukan bagian kasir mulu), tapi manager gue lagi uring""an ppkm lagi ntar mau gimana wkwk"
1467855522065833994,Ppkm squad😂 https://t.co/BxMHgd3mQ8
1467854989557125120,"Check out a great #article Tren Kasus Terus Menurun, PPKM Luar Jawa-Bali Dilanjutkan Hingga 23 Desember 2021 https://t.co/kLSvdpkxPe"
1467854857193201664,"Kegiatan sambang  menyampaikan himbuan Kamtibmas dan giat patroli (PPKM) Mikro di  wilayah hukum Polsek Mijen.
@humaspolrestabessmg
@humaspoldajateng https://t.co/GuCOkq6vUi"
1467854351574044676,"Jelang Nataru, Kabupaten Demak Terapkan PPKM Level 3 Segera https://t.co/KwdSRdkLLa"
1467854261241348113,"Kegiatan sambang  menyampaikan himbuan Kamtibmas dan giat patroli (PPKM) Mikro di  wilayah hukum Polsek Mijen.
@humaspolrestabessmg
@humaspoldajateng https://t.co/jhFuHmFg18"
